,local,global
different,0.0014118751320351228,0.27054128068927397
development,0.0019614143781285856,0.333784434888475
point,0.001413219098459733,0.3122006716369967
american,0.0010536593497119434,0.34257175092682324
god,0.0004277142121669079,0.22143748426616905
century,0.0010168536582047007,0.22600982292892913
going,0.00129779588935922,0.2693039790793146
example,0.0022095243843647727,0.44461682003946756
information,0.002055129251711255,0.3704784410655464
law,0.0006779982623101798,0.2807429323759224
able,0.0003497263108055096,0.2702399766977045
here,0.000686478220392201,0.3322496734590489
2,0.00029501865380547886,0.350599622824886
great,0.002385723373546408,0.3038743635389164
shall,0.0015712141141763114,0.3040287941910368
within,0.001901925966541862,0.3258273716503751
find,0.0007020702419319703,0.2853484175883019
whether,0.0009500701149703391,0.30440051325701356
men,0.0016305327835474813,0.3874095146795181
hand,0.0004712978132927027,0.23312431429581426
without,0.002672306447451416,0.34734473188208403
possible,0.000616167760729182,0.3164401742484291
another,0.0013470780273783817,0.3719954286818735
little,0.0015413264938478302,0.29125471868099684
power,0.0013586120736183878,0.31694606465556885
history,0.0006312828130026698,0.3385940263781415
form,0.002476675776049042,0.349828645679107
high,0.002969750719746189,0.35615855210820346
while,0.0016089078500408388,0.40577437397508476
given,0.001760747723130495,0.40397595406614095
few,0.0006671130333913136,0.2557448193669909
since,0.0016210260764796512,0.33699229689516674
too,0.000998884723703331,0.3179158160625498
never,0.0005669952469960852,0.29319205500762957
process,0.002529829361286675,0.33443296817334023
national,0.0020706834677086893,0.43128853024310854
court,0.0008338081054660412,0.24354985747244484
person,0.0015535657172448566,0.30866053143220396
until,0.0019766583334012125,0.30734393917908553
public,0.0017450349809508923,0.30564946470006116
book,0.001145418336746522,0.3272366687671858
against,0.000858090591335982,0.2508630230938894
give,0.0008659579799722969,0.3026112873710628
house,0.0004794347489702372,0.2978657433628564
less,0.0008278620113229065,0.29773172273578963
study,0.002914648779648964,0.42867422630576024
things,0.0006546423046888813,0.282584964790239
set,0.005117592329032794,0.40193507705730935
thought,0.0007473555016286241,0.33473372649799693
general,0.002149992322469266,0.31079069192291375
change,0.001404743542676195,0.30641578272153747
came,0.0005887057345428096,0.28642090596105296
why,0.0005941256798883981,0.3077922386729971
least,0.0014323906753072047,0.3730652004003945
human,0.0018011626484746876,0.4166394596023203
side,0.001553787185017234,0.3171743819787549
still,0.0028983070971756834,0.44169845739015
old,0.0015589192806471804,0.27848687406509254
political,0.0008827253076660324,0.2896045775632442
large,0.0013583054381126926,0.3160055666972913
put,0.0006597684610384347,0.30978998384719636
act,0.0019086542229681139,0.2731359835183874
following,0.0016381408025109906,0.3654306831961862
family,0.000774998980867962,0.30287690315525284
economic,0.0015608433894670481,0.3638079757461099
period,0.0007567952790801606,0.2578161944652303
question,0.0013998761367324634,0.2794495711536894
problem,0.002218523231863837,0.3301203159156604
society,0.001235093628037851,0.326837098146716
something,0.00040316261995106486,0.279594159085072
left,0.0007359518811963649,0.29716797263741257
course,0.002007279362764805,0.42882574833563414
far,0.0016610720011644266,0.3191435862012074
second,0.0007763791273362923,0.32965641608045515
water,0.0010205000539518993,0.25712032413692487
last,0.000530412237718998,0.349606492099795
